party id,num parties,db l1,db l2,wall time,comp time,upload (byte),download (byte)
1, 2, 128, 128, 78.765383ms, 4.347ms, 216, 210
0, 2, 128, 128, 66.877474ms, 3.658ms, 210, 216
1, 2, 128, 128, 63.694764ms, 1.048ms, 210, 210
0, 2, 128, 128, 63.611897ms, 952µs, 210, 210
1, 2, 128, 128, 63.857392ms, 1.01ms, 210, 210
0, 2, 128, 128, 63.97281ms, 965µs, 210, 210
1, 2, 128, 128, 62.455773ms, 1.035ms, 210, 210
0, 2, 128, 128, 62.534333ms, 555µs, 210, 210
1, 2, 128, 128, 64.504731ms, 870µs, 210, 210
0, 2, 128, 128, 64.531202ms, 940µs, 210, 210
1, 2, 128, 64, 78.718778ms, 3.994ms, 180, 174
0, 2, 128, 64, 66.061423ms, 3.872ms, 174, 180
1, 2, 128, 64, 63.740732ms, 896µs, 174, 174
0, 2, 128, 64, 63.710085ms, 1.14ms, 174, 174
1, 2, 128, 64, 63.163068ms, 876µs, 174, 174
0, 2, 128, 64, 63.184859ms, 1.005ms, 174, 174
1, 2, 128, 64, 63.181522ms, 1.388ms, 174, 174
0, 2, 128, 64, 63.199266ms, 964µs, 174, 174
1, 2, 128, 64, 64.455911ms, 948µs, 174, 174
0, 2, 128, 64, 63.860331ms, 949µs, 174, 174
1, 2, 256, 256, 79.1717ms, 4.641ms, 321, 315
0, 2, 256, 256, 67.642426ms, 3.549ms, 315, 321
1, 2, 256, 256, 63.325657ms, 758µs, 315, 315
0, 2, 256, 256, 63.162306ms, 855µs, 315, 315
1, 2, 256, 256, 63.102001ms, 951µs, 315, 315
0, 2, 256, 256, 63.033552ms, 884µs, 315, 315
1, 2, 256, 256, 63.031859ms, 809µs, 315, 315
0, 2, 256, 256, 62.393107ms, 860µs, 315, 315
1, 2, 256, 256, 62.50066ms, 706µs, 315, 315
0, 2, 256, 256, 62.689479ms, 856µs, 315, 315
1, 2, 256, 128, 77.371942ms, 3.033ms, 252, 246
0, 2, 256, 128, 65.17701ms, 3.93ms, 246, 252
1, 2, 256, 128, 63.942498ms, 865µs, 246, 246
0, 2, 256, 128, 64.157346ms, 1.066ms, 246, 246
1, 2, 256, 128, 63.762386ms, 929µs, 246, 246
0, 2, 256, 128, 63.580842ms, 1.087ms, 246, 246
1, 2, 256, 128, 63.09424ms, 691µs, 246, 246
0, 2, 256, 128, 62.915309ms, 1.34ms, 246, 246
1, 2, 256, 128, 64.134153ms, 913µs, 246, 246
0, 2, 256, 128, 63.610159ms, 991µs, 246, 246
0, 2, 512, 512, 67.231607ms, 4.483ms, 529, 535
1, 2, 512, 512, 100.154556ms, 3.914ms, 535, 529
1, 2, 512, 512, 64.477242ms, 1.136ms, 529, 529
0, 2, 512, 512, 85.479531ms, 1.212ms, 529, 529
0, 2, 512, 512, 63.229325ms, 1.02ms, 529, 529
1, 2, 512, 512, 84.010976ms, 1.444ms, 529, 529
1, 2, 512, 512, 63.634163ms, 994µs, 529, 529
0, 2, 512, 512, 84.002439ms, 1.046ms, 529, 529
0, 2, 512, 512, 63.882562ms, 951µs, 529, 529
1, 2, 512, 512, 84.922296ms, 1.19ms, 529, 529
0, 2, 512, 256, 66.409169ms, 4.203ms, 395, 401
1, 2, 512, 256, 99.221465ms, 3.711ms, 401, 395
1, 2, 512, 256, 64.047209ms, 995µs, 395, 395
0, 2, 512, 256, 85.222597ms, 1.299ms, 395, 395
0, 2, 512, 256, 63.98437ms, 1.192ms, 395, 395
1, 2, 512, 256, 85.53022ms, 1.107ms, 395, 395
1, 2, 512, 256, 63.147344ms, 863µs, 395, 395
0, 2, 512, 256, 84.275171ms, 1.293ms, 395, 395
0, 2, 512, 256, 63.15106ms, 971µs, 395, 395
1, 2, 512, 256, 83.909086ms, 960µs, 395, 395
0, 2, 1024, 1024, 66.884646ms, 4.325ms, 925, 931
1, 2, 1024, 1024, 100.733363ms, 3.338ms, 931, 925
1, 2, 1024, 1024, 64.130501ms, 1.081ms, 925, 925
0, 2, 1024, 1024, 85.234173ms, 1.235ms, 925, 925
0, 2, 1024, 1024, 62.579921ms, 661µs, 925, 925
1, 2, 1024, 1024, 83.168266ms, 1.446ms, 925, 925
1, 2, 1024, 1024, 63.224422ms, 1.136ms, 925, 925
0, 2, 1024, 1024, 83.742674ms, 1.048ms, 925, 925
0, 2, 1024, 1024, 63.784975ms, 1.004ms, 925, 925
1, 2, 1024, 1024, 84.483078ms, 1.204ms, 925, 925
0, 2, 1024, 512, 65.484718ms, 3.146ms, 663, 669
1, 2, 1024, 512, 98.642835ms, 3.81ms, 669, 663
1, 2, 1024, 512, 63.894432ms, 993µs, 663, 663
0, 2, 1024, 512, 84.495351ms, 1.253ms, 663, 663
0, 2, 1024, 512, 63.734109ms, 973µs, 663, 663
1, 2, 1024, 512, 84.306062ms, 1.133ms, 663, 663
1, 2, 1024, 512, 62.173991ms, 717µs, 663, 663
0, 2, 1024, 512, 82.717441ms, 881µs, 663, 663
0, 2, 1024, 512, 63.46622ms, 1.001ms, 663, 663
1, 2, 1024, 512, 83.804652ms, 1.014ms, 663, 663
