party id,num parties,db l1,db l2,wall time,comp time,upload (byte),download (byte)
0, 2, 16384, 16384, 129.173359ms, 6.965ms, 12566, 12572
1, 2, 16384, 16384, 171.787575ms, 7.135ms, 12572, 12566
1, 2, 16384, 16384, 125.3504ms, 3.402ms, 12566, 12566
0, 2, 16384, 16384, 166.040216ms, 3.643ms, 12566, 12566
0, 2, 16384, 16384, 124.571354ms, 3.127ms, 12566, 12566
1, 2, 16384, 16384, 165.459033ms, 3.338ms, 12566, 12566
1, 2, 16384, 16384, 123.398768ms, 2.076ms, 12566, 12566
0, 2, 16384, 16384, 162.548739ms, 3.421ms, 12566, 12566
0, 2, 16384, 16384, 122.512092ms, 2.156ms, 12566, 12566
1, 2, 16384, 16384, 162.338083ms, 2.149ms, 12566, 12566
0, 2, 16384, 8192, 126.966689ms, 5.455ms, 8450, 8456
1, 2, 16384, 8192, 168.678818ms, 5.749ms, 8456, 8450
1, 2, 16384, 8192, 124.486034ms, 2.437ms, 8450, 8450
0, 2, 16384, 8192, 165.595639ms, 1.596ms, 8450, 8450
0, 2, 16384, 8192, 124.012163ms, 2.273ms, 8450, 8450
1, 2, 16384, 8192, 165.862271ms, 2.576ms, 8450, 8450
1, 2, 16384, 8192, 125.457932ms, 2.44ms, 8450, 8450
0, 2, 16384, 8192, 166.468792ms, 2.379ms, 8450, 8450
0, 2, 16384, 8192, 123.766731ms, 1.668ms, 8450, 8450
1, 2, 16384, 8192, 164.943754ms, 2.518ms, 8450, 8450
0, 2, 32768, 32768, 134.523281ms, 13.372ms, 24926, 24932
1, 2, 32768, 32768, 180.634024ms, 13.528ms, 24932, 24926
1, 2, 32768, 32768, 132.39056ms, 8.264ms, 24926, 24926
0, 2, 32768, 32768, 170.496517ms, 11.092ms, 24926, 24926
0, 2, 32768, 32768, 134.55973ms, 10.063ms, 24926, 24926
1, 2, 32768, 32768, 169.977241ms, 11.061ms, 24926, 24926
1, 2, 32768, 32768, 135.370354ms, 5.743ms, 24926, 24926
0, 2, 32768, 32768, 164.311285ms, 11.154ms, 24926, 24926
0, 2, 32768, 32768, 139.672797ms, 6.398ms, 24926, 24926
1, 2, 32768, 32768, 160.01292ms, 10.984ms, 24926, 24926
0, 2, 32768, 16384, 132.403605ms, 9.85ms, 16698, 16704
1, 2, 32768, 16384, 170.035269ms, 10.047ms, 16704, 16698
1, 2, 32768, 16384, 128.563994ms, 6.222ms, 16698, 16698
0, 2, 32768, 16384, 167.497808ms, 6.766ms, 16698, 16698
0, 2, 32768, 16384, 127.832727ms, 2.993ms, 16698, 16698
1, 2, 32768, 16384, 164.582983ms, 3.179ms, 16698, 16698
1, 2, 32768, 16384, 128.410926ms, 6.058ms, 16698, 16698
0, 2, 32768, 16384, 162.502452ms, 3.34ms, 16698, 16698
0, 2, 32768, 16384, 129.843339ms, 6.643ms, 16698, 16698
1, 2, 32768, 16384, 167.048401ms, 6.549ms, 16698, 16698
2, 4, 16384, 16384, 155.809675ms, 15.085ms, 37710, 37704
3, 4, 16384, 16384, 182.99919ms, 13.82ms, 37716, 37698
1, 4, 16384, 16384, 197.601784ms, 13.941ms, 37704, 37710
0, 4, 16384, 16384, 235.148418ms, 13.993ms, 37698, 37716
1, 4, 16384, 16384, 151.355108ms, 10.23ms, 37698, 37698
2, 4, 16384, 16384, 151.923817ms, 10.388ms, 37698, 37698
3, 4, 16384, 16384, 151.369275ms, 10.18ms, 37698, 37698
0, 4, 16384, 16384, 151.038823ms, 10.254ms, 37698, 37698
3, 4, 16384, 16384, 152.554933ms, 9.767ms, 37698, 37698
1, 4, 16384, 16384, 152.577205ms, 9.951ms, 37698, 37698
2, 4, 16384, 16384, 152.582514ms, 9.985ms, 37698, 37698
0, 4, 16384, 16384, 152.222568ms, 9.906ms, 37698, 37698
3, 4, 16384, 16384, 151.596251ms, 10.068ms, 37698, 37698
1, 4, 16384, 16384, 151.600058ms, 10.25ms, 37698, 37698
2, 4, 16384, 16384, 151.595069ms, 10.283ms, 37698, 37698
0, 4, 16384, 16384, 151.258055ms, 10.143ms, 37698, 37698
3, 4, 16384, 16384, 151.743327ms, 9.854ms, 37698, 37698
1, 4, 16384, 16384, 151.749329ms, 10.105ms, 37698, 37698
2, 4, 16384, 16384, 151.741283ms, 10.137ms, 37698, 37698
0, 4, 16384, 16384, 151.42594ms, 10.06ms, 37698, 37698
3, 4, 16384, 8192, 177.304201ms, 12.742ms, 25368, 25350
2, 4, 16384, 8192, 154.303593ms, 10.707ms, 25362, 25356
1, 4, 16384, 8192, 195.285619ms, 12.74ms, 25356, 25362
0, 4, 16384, 8192, 230.731764ms, 11.729ms, 25350, 25368
3, 4, 16384, 8192, 148.827824ms, 7.231ms, 25350, 25350
2, 4, 16384, 8192, 148.827172ms, 7.253ms, 25350, 25350
1, 4, 16384, 8192, 148.873389ms, 7.463ms, 25350, 25350
0, 4, 16384, 8192, 148.345947ms, 4.681ms, 25350, 25350
1, 4, 16384, 8192, 148.201587ms, 6.96ms, 25350, 25350
2, 4, 16384, 8192, 148.246501ms, 7.05ms, 25350, 25350
3, 4, 16384, 8192, 148.247784ms, 6.955ms, 25350, 25350
0, 4, 16384, 8192, 147.792057ms, 7.003ms, 25350, 25350
2, 4, 16384, 8192, 149.090456ms, 7.14ms, 25350, 25350
1, 4, 16384, 8192, 149.120833ms, 6.661ms, 25350, 25350
3, 4, 16384, 8192, 149.034261ms, 6.962ms, 25350, 25350
0, 4, 16384, 8192, 148.620543ms, 6.423ms, 25350, 25350
3, 4, 16384, 8192, 145.390721ms, 3.558ms, 25350, 25350
1, 4, 16384, 8192, 145.406882ms, 4.171ms, 25350, 25350
2, 4, 16384, 8192, 145.404598ms, 4.04ms, 25350, 25350
0, 4, 16384, 8192, 144.991181ms, 3.627ms, 25350, 25350
3, 4, 32768, 32768, 183.292042ms, 13.977ms, 74796, 74778
1, 4, 32768, 32768, 200.275993ms, 14.254ms, 74784, 74790
2, 4, 32768, 32768, 156.087437ms, 15.415ms, 74790, 74784
0, 4, 32768, 32768, 235.556777ms, 15.658ms, 74778, 74796
1, 4, 32768, 32768, 152.333548ms, 11.425ms, 74778, 74778
3, 4, 32768, 32768, 152.372451ms, 11.568ms, 74778, 74778
2, 4, 32768, 32768, 152.337396ms, 11.536ms, 74778, 74778
0, 4, 32768, 32768, 152.000993ms, 11.383ms, 74778, 74778
3, 4, 32768, 32768, 157.925985ms, 16.991ms, 74778, 74778
2, 4, 32768, 32768, 157.925395ms, 16.87ms, 74778, 74778
1, 4, 32768, 32768, 157.927038ms, 17.065ms, 74778, 74778
0, 4, 32768, 32768, 157.628937ms, 16.897ms, 74778, 74778
3, 4, 32768, 32768, 158.655778ms, 16.809ms, 74778, 74778
2, 4, 32768, 32768, 158.655006ms, 16.675ms, 74778, 74778
1, 4, 32768, 32768, 158.651129ms, 16.762ms, 74778, 74778
0, 4, 32768, 32768, 158.343691ms, 17.014ms, 74778, 74778
1, 4, 32768, 32768, 160.621025ms, 18.844ms, 74778, 74778
3, 4, 32768, 32768, 160.630022ms, 18.568ms, 74778, 74778
2, 4, 32768, 32768, 160.638708ms, 18.499ms, 74778, 74778
0, 4, 32768, 32768, 160.157803ms, 18.914ms, 74778, 74778
3, 4, 32768, 16384, 185.094241ms, 16.847ms, 50112, 50094
1, 4, 32768, 16384, 204.551325ms, 15.602ms, 50100, 50106
2, 4, 32768, 16384, 158.283998ms, 15.239ms, 50106, 50100
0, 4, 32768, 16384, 240.092278ms, 15.728ms, 50094, 50112
2, 4, 32768, 16384, 153.982289ms, 13.582ms, 50094, 50094
3, 4, 32768, 16384, 155.767025ms, 13.502ms, 50094, 50094
1, 4, 32768, 16384, 154.034937ms, 13.661ms, 50094, 50094
0, 4, 32768, 16384, 153.67985ms, 13.435ms, 50094, 50094
3, 4, 32768, 16384, 155.245054ms, 13.175ms, 50094, 50094
1, 4, 32768, 16384, 155.270772ms, 13.048ms, 50094, 50094
2, 4, 32768, 16384, 155.286571ms, 12.95ms, 50094, 50094
0, 4, 32768, 16384, 154.86608ms, 13.207ms, 50094, 50094
